"TERM","colors","cup","bold","setaf"
"putty+fnkeys+vt400","-1","''","''","''"
"putty+fnkeys+xterm","-1","''","''","''"
"putty-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"putty-m1","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"putty-m1b","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[33m'","$'\001'"
"putty-m2","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[33m'","$'\001'"
"putty-noapp","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"putty-sco","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"putty-vt100","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"qansi","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qansi-g","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qansi-m","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qansi-t","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qansi-w","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qdss","-1","$'\E=%p1%c%p2%c'","''","''"
"qnx","8","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E<'","''"
"qnxm","8","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E<'","''"
"qnxt","8","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E<'","''"
"qnxt2","8","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E<'","''"
"qnxtmono","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E<'","''"
"qnxw","8","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\E<'","''"
"qume5","-1","''","''","''"
"qvt101","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"qvt101+","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"qvt102","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"qvt103","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qvt103-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qvt119+","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"qvt119+-25","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"qvt119+-25-w","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"qvt119+-w","-1","$'\E=%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"qvt203","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qvt203-25","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qvt203-25-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"qvt203-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"rbcomm","-1","$'\037%p2%\' \'%+%c%p1%\' \'%+%c'","$'\E[1m'","''"
"rbcomm-nam","-1","$'\037%p2%\' \'%+%c%p1%\' \'%+%c'","$'\E[1m'","''"
"rbcomm-w","-1","$'\037%p2%\' \'%+%c%p1%\' \'%+%c'","$'\E[1m'","''"
"rca","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"rcons","-1","$'\E[%i%p1%d;%p2%dH'","''","''"
"rcons-color","8","$'\E[%i%p1%d;%p2%dH'","''","$'\E[3%p1%dm'"
"regent","-1","''","''","''"
"regent100","-1","$'\v%p1%\' \'%+%c\020%p2%{10}%/%{16}%*%p2%{10}%m%+%c'","''","''"
"regent20","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"regent25","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"regent40","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"regent40+","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"regent60","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"rt6221","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"rt6221-w","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"rtpc","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","$'\EZ'","''"
"rxvt+pcfkeys","-1","''","''","''"
"rxvt-16color","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"rxvt-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"rxvt-88color","88","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"rxvt-basic","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"rxvt-color","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"rxvt-cygwin","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"rxvt-cygwin-native","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"rxvt-unicode-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[38;5;%p1%dm'"
"rxvt-xpm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"sb1","-1","$'\EF%p2%03d%p1%03d'","''","''"
"sb2","-1","$'\EF%p2%03d%p1%03d'","''","''"
"sbi","-1","$'\EF%p2%03d%p1%03d'","''","''"
"scanset","-1","$'\EY%p1%\' \'%+%c%p2%\' \'%+%c'","''","''"
"scoansi","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"scoansi-new","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"scoansi-old","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen+fkeys","-1","''","''","''"
"screen+italics","-1","''","''","''"
"screen-16color","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"screen-16color-bce","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"screen-16color-bce-s","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"screen-16color-s","16","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t%p1%{30}%+%e%p1%\'R\'%+%;%dm'"
"screen-256color-bce","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen-256color-bce-s","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen-256color-s","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen-bce","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-bce.Eterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-bce.gnome","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-bce.konsole","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-bce.linux","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-bce.mrxvt","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-bce.rxvt","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-bce.xterm-new","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-s","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen-w","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.Eterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.gnome","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.konsole","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.konsole-256color","256","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m'"
"screen.linux","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.linux-m1","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
"screen.linux-m1b","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.linux-m2","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.minitel1","8","$'\E[%i%p1%d;%p2%dH'","''","$'\E[3%p1%dm'"
"screen.minitel1-nb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.minitel1b","8","$'\E[%i%p1%d;%p2%dH'","''","$'\E[3%p1%dm'"
"screen.minitel1b-80","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.minitel1b-nb","-1","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","''"
"screen.mlterm","8","$'\E[%i%p1%d;%p2%dH'","$'\E[1m'","$'\E[3%p1%dm'"
